UPM;NVIVI;NHOGA;ANIO;AREA;DPTOV;ESTGEO;P501;P502L;P503;P504L;P505;SELEC_AUX;FEX_MUJER
19621;78;1;2021;1;11;1;1;1;1; ; ;1;447
19621;85;1;2021;1;11;1;1;2;1; ; ;2;596
19621;89;1;2021;1;11;1;1;2;1; ; ;2;637
19673;1;1;2021;1;11;1;1;2;1; ; ;2;581
19673;22;1;2021;1;11;1;1;1;1; ; ;1;581
19673;42;1;2021;1;11;1;1;2;1; ; ;2;581
19673;58;1;2021;1;11;1;1;2;1; ; ;2;658
19673;60;1;2021;1;11;1;1;2;1; ; ;2;462
19673;61;1;2021;1;11;1;1;1;1; ; ;1;617
19673;69;1;2021;1;11;1;1;2;1; ; ;2;581
19673;72;1;2021;1;11;1;1;1;1; ; ;1;603
19673;79;1;2021;1;11;1;1;2;1; ; ;2;482
19721;8;1;2021;1;11;1;1;1;1; ; ;1;503
19721;13;1;2021;1;11;1;1;2;1; ; ;2;461
19721;39;1;2021;1;11;1;1;2;1; ; ;2;444
19721;56;1;2021;1;11;1;1;1;1; ; ;1;472
19721;58;1;2021;1;11;1;1;1;1; ; ;1;389
19721;67;1;2021;1;11;1;1;1;1; ; ;1;444
19721;81;1;2021;1;11;1;1;2;1; ; ;2;519
19721;85;1;2021;1;11;1;1;2;1; ; ;2;461
19773;5;1;2021;1;11;1;1;1;1; ; ;1;203
19773;13;1;2021;1;11;1;1;2;1; ; ;2;334
19773;21;1;2021;1;11;1;1;2;1; ; ;2;334
19773;25;1;2021;1;11;1;2;2;1; ; ;2;607
19773;36;1;2021;1;11;1;3;1;1; ; ;1;971
19773;39;1;2021;1;11;1;1;1;1; ; ;1;320
19773;44;1;2021;1;11;1;1;2;1; ; ;2;304
19773;50;1;2021;1;11;1;1;2;1; ; ;2;320
19773;58;1;2021;1;11;1;1;1;1; ; ;1;320
19826;3;1;2021;1;11;1;1;1;1; ; ;1;423
19826;6;1;2021;1;11;1;1;1;1; ; ;1;405
19826;10;1;2021;1;11;1;1;2;1; ; ;2;405
19826;15;1;2021;1;11;1;1;1;1; ; ;1;362
19826;30;1;2021;1;11;1;4;2;1; ; ;2;1640
19826;31;1;2021;1;11;1;1;1;1; ; ;1;405
19826;66;1;2021;1;11;1;1;1;1; ; ;1;362
19826;69;1;2021;1;11;1;1;2;1; ; ;2;453
19881;9;1;2021;1;11;1;1;1;1; ; ;1;653
19881;19;1;2021;1;11;1;1;4;1; ; ;4;625
19881;20;1;2021;1;11;1;2;1;5;3;1;3;1306
19881;32;1;2021;1;11;1;1;1;1; ; ;1;490
19881;38;1;2021;1;11;1;2;2;1; ; ;2;980
19881;54;1;2021;1;11;1;1;2;1; ; ;2;558
