UPM;NVIVI;NHOGA;ANIO;AREA;DPTOV;ESTGEO;P901;P902;P903;P904;P905;P906;P907;P908;P909;P910;P911;P912;P913;P914;P915;P916;P917;P918;P919;P920;P921;P922;P923;P924;P925;P926;P927;P928;P929;P930;P931;P932;P933;P934;P935;P936;P937;P938;P939;P940;P941;P942;P943;P944;P945;P946;FEX_MUJER
1030;29;1;2021;1;0;1;2;25;42;1; ; ;4;1;3;15;0;2;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;134
1030;43;1;2021;1;0;1;1;37;19;1; ; ;4;3;3;20;2;3;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;470
1030;46;1;2021;1;0;1;1;30;38;1; ; ;4;1;5;19;3;5;1;3;8;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;601
1030;48;1;2021;1;0;1;1;24;25;1; ; ;4;1;2;26;2;2;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;401
1159;14;1;2021;1;0;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;19;4;1; ;2;20;0;2;3;3;3;3;888
1159;19;1;2021;1;0;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;28;4;1; ;2;29;1;2;3;3;8;1;461
1159;23;1;2021;1;0;1;1;17;38;2;18;4;4;1;3;23;3;2;3;1;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;328
1159;34;1;2021;1;0;1;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;1;1;17;1;17;6; ;2;19;1;2;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ;413
1159;37;1;2021;1;0;1;1;36;21;1; ; ;4;2;4;23;3;4;1;1;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;241
1159;53;1;2021;1;0;1;1;27;24;1; ; ;4;1;1;25;1;1;3;3;8;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;308
1159;59;1;2021;1;0;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;15;4;1; ;6;17;1;6;3;3;3;3;619
1186;6;1;2021;1;0;1;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1098
1186;26;1;2021;1;0;1;1;28;18;1; ; ;4;1;1;19;1;1;3;1;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1418
1186;34;1;2021;1;0;1;1;40;33;1; ; ;4;1;2;36;0;2;3;1;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;498
1186;48;1;2021;1;0;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;19;4;1; ;2;21;0;2;3;1;3;3;445
1186;54;1;2021;1;0;1;2;2;20;1; ; ;4;1;2;17;2;1;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;783
1186;57;1;2021;1;0;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;20;4;2;35;3;21;3;0;3;3;3;3;1039
1291;4;1;2021;1;0;1;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;1;1;24;1;20;6; ;0; ; ; ; ; ;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5102
1291;41;1;2021;1;0;1;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;1;2;17;1;16;6; ;0; ; ; ; ; ;3;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4256
